aggregated	self	category	text
30.17%	30.17%	14319	b	uh-huh
57.72%	27.55%	13075	b	yeah
65.16%	7.44%	3532	b	right
67.79%	2.63%	1249	b	oh
69.64%	1.85%	877	b	
70.96%	1.33%	629	b	oh yeah
72.29%	1.32%	627	b	yes
73.56%	1.28%	607	b	okay
74.53%	0.96%	458	bk	okay
75.37%	0.84%	399	b	huh
76.14%	0.77%	364	b	sure
76.82%	0.68%	325	bk	oh okay
77.43%	0.61%	288	b	huh-uh
78.02%	0.59%	282	bh	oh really
78.58%	0.56%	264	ba	wow
79.12%	0.55%	259	b	um
79.53%	0.41%	193	bh	really
79.92%	0.39%	186	b	really
80.30%	0.37%	177	bk	oh
80.61%	0.32%	151	b	oh really
80.91%	0.29%	140	b	uh
81.19%	0.28%	134	b	oh okay
81.47%	0.28%	131	b	oh uh-huh
81.74%	0.27%	130	b^m	yeah
81.97%	0.23%	109	ba	that 's right
82.19%	0.22%	103	ba	oh no
82.40%	0.21%	101	ba	oh wow
82.60%	0.20%	96	b	no
82.79%	0.19%	91	ba	that 's great
82.98%	0.19%	90	ba	that 's good
83.17%	0.18%	87	ba	that 's true
83.33%	0.17%	79	ba	
83.50%	0.17%	79	b	yep
83.66%	0.16%	75	b	i see
83.81%	0.15%	73	ba	oh gosh
83.96%	0.15%	72	ba	well that 's good
84.11%	0.15%	70	ba	i know
84.26%	0.15%	69	ba	oh my goodness
84.39%	0.14%	65	bh	is that right
84.53%	0.13%	63	b	well yeah
84.65%	0.12%	58	bk	oh i see
84.77%	0.12%	57	ba	great
84.88%	0.11%	54	ba	oh my
85.00%	0.11%	54	ba	oh yeah
85.11%	0.11%	53	b	all right
85.22%	0.11%	53	ba	good
85.33%	0.11%	52	bk	i see
85.44%	0.11%	52	ba	oh boy
85.55%	0.11%	51	ba	oh my gosh
85.65%	0.11%	50	ba	oh that 's great
85.75%	0.10%	49	b	oh i see
85.86%	0.10%	48	ba	gosh
85.96%	0.10%	47	b	uh yeah
86.05%	0.09%	43	b	oh yes
86.13%	0.09%	41	ba	oh great
86.21%	0.08%	38	ba	oh that 's good
86.29%	0.08%	36	ba	oh dear
86.36%	0.07%	35	bk	uh-huh
86.43%	0.07%	34	bh	do you
86.50%	0.07%	34	br	huh
86.57%	0.07%	32	bh	oh is that right
86.64%	0.07%	32	ba	that 's interesting
86.71%	0.07%	31	bf	
86.77%	0.07%	31	ba	sure
86.83%	0.06%	30	ba	oh goodness
86.89%	0.06%	29	b^m	no
86.96%	0.06%	29	ba	well good
87.02%	0.06%	29	bh	oh yeah
87.08%	0.06%	28	br	what
87.13%	0.06%	27	bd	that 's okay
87.19%	0.06%	27	ba	oh that 's nice
87.24%	0.05%	26	b	so yeah
87.30%	0.05%	26	ba	oh good
87.35%	0.05%	26	ba	i understand
87.41%	0.05%	25	ba	oh
87.46%	0.05%	25	b	um yeah
87.51%	0.05%	25	bk	yeah
87.56%	0.05%	24	ba	exactly
87.61%	0.05%	23	ba	oh sure
87.66%	0.05%	23	ba	you bet
87.71%	0.05%	23	ba	i bet
87.75%	0.05%	22	b^m	okay
