aggregated	self	category	text
31.13%	31.13%	14319	b	uh-huh
59.55%	28.42%	13075	b	yeah
67.23%	7.68%	3532	b	right
69.95%	2.72%	1249	b	oh
71.85%	1.91%	877	b	
73.22%	1.37%	629	b	oh yeah
74.58%	1.36%	627	b	yes
75.90%	1.32%	607	b	okay
76.90%	1.00%	458	bk	okay
77.77%	0.87%	399	b	huh
78.56%	0.79%	364	b	sure
79.26%	0.71%	325	bk	oh okay
79.89%	0.63%	288	b	huh-uh
80.50%	0.61%	282	bh	oh really
81.08%	0.57%	264	ba	wow
81.64%	0.56%	259	b	um
82.06%	0.42%	193	bh	really
82.46%	0.40%	186	b	really
82.85%	0.38%	177	bk	oh
83.18%	0.33%	151	b	oh really
83.48%	0.30%	140	b	uh
83.77%	0.29%	134	b	oh okay
84.06%	0.28%	131	b	oh uh-huh
84.34%	0.28%	130	b^m	yeah
84.58%	0.24%	109	ba	that 's right
84.80%	0.22%	103	ba	oh no
85.02%	0.22%	101	ba	oh wow
85.23%	0.21%	96	b	no
85.43%	0.20%	91	ba	that 's great
85.62%	0.20%	90	ba	that 's good
85.81%	0.19%	87	ba	that 's true
85.98%	0.17%	79	ba	
86.15%	0.17%	79	b	yep
86.32%	0.16%	75	b	i see
86.48%	0.16%	73	ba	oh gosh
86.63%	0.16%	72	ba	well that 's good
86.78%	0.15%	70	ba	i know
86.93%	0.15%	69	ba	oh my goodness
87.08%	0.14%	65	bh	is that right
87.21%	0.14%	63	b	well yeah
87.34%	0.13%	58	bk	oh i see
87.46%	0.12%	57	ba	great
87.58%	0.12%	54	ba	oh yeah
87.70%	0.12%	54	ba	oh my
87.81%	0.12%	53	ba	good
87.93%	0.12%	53	b	all right
88.04%	0.11%	52	ba	oh boy
88.15%	0.11%	52	bk	i see
88.27%	0.11%	51	ba	oh my gosh
88.37%	0.11%	50	ba	oh that 's great
88.48%	0.11%	49	b	oh i see
88.58%	0.10%	48	ba	gosh
88.69%	0.10%	47	b	uh yeah
88.78%	0.09%	43	b	oh yes
88.87%	0.09%	41	ba	oh great
88.95%	0.08%	38	ba	oh that 's good
89.03%	0.08%	36	ba	oh dear
89.11%	0.08%	35	bk	uh-huh
89.18%	0.07%	34	br	huh
89.25%	0.07%	34	bh	do you
89.32%	0.07%	32	ba	that 's interesting
89.39%	0.07%	32	bh	oh is that right
89.46%	0.07%	31	ba	sure
89.53%	0.07%	31	bf	
89.59%	0.07%	30	ba	oh goodness
89.66%	0.06%	29	b^m	no
89.72%	0.06%	29	bh	oh yeah
89.78%	0.06%	29	ba	well good
89.84%	0.06%	28	br	what
89.90%	0.06%	27	bd	that 's okay
89.96%	0.06%	27	ba	oh that 's nice
90.02%	0.06%	26	b	so yeah
90.07%	0.06%	26	ba	i understand
90.13%	0.06%	26	ba	oh good
90.18%	0.05%	25	bk	yeah
90.24%	0.05%	25	ba	oh
90.29%	0.05%	25	b	um yeah
90.35%	0.05%	24	ba	exactly
90.40%	0.05%	23	ba	you bet
90.45%	0.05%	23	ba	oh sure
90.50%	0.05%	23	ba	i bet
90.54%	0.05%	22	b^m	okay
90.59%	0.05%	21	bh	yeah
90.63%	0.05%	21	ba	my goodness
90.68%	0.05%	21	ba	jeez
90.73%	0.05%	21	ba	there you go
90.77%	0.05%	21	bh	
90.82%	0.04%	20	bk	all right
90.86%	0.04%	20	ba	ooh
90.90%	0.04%	20	b^m	uh-huh
90.95%	0.04%	20	ba	boy
90.99%	0.04%	20	b^m	
91.03%	0.04%	19	ba	oh gee
91.07%	0.04%	19	ba	well that 's great
91.11%	0.04%	19	ba	that 's neat
91.15%	0.04%	18	br	pardon me
91.19%	0.04%	18	b	that 's right
91.23%	0.04%	18	ba	true
91.27%	0.04%	18	ba	oh my word
91.31%	0.04%	17	b	yeah uh
91.34%	0.04%	17	ba	well that 's interesting
91.38%	0.04%	17	b	you know
91.42%	0.04%	17	ba	that 's nice
91.45%	0.04%	17	bk	
91.49%	0.03%	16	bh	oh did you
91.52%	0.03%	16	b	um uh-huh
91.56%	0.03%	16	bh	is it
91.59%	0.03%	16	ba	gee
91.63%	0.03%	15	bh	did you
91.66%	0.03%	15	ba	oh i know
91.69%	0.03%	15	b	oh right
91.72%	0.03%	15	br	pardon
91.76%	0.03%	15	ba	that 's wonderful
91.79%	0.03%	15	ba	oh that 's interesting
91.82%	0.03%	15	ba	that sounds good
91.85%	0.03%	15	ba	that 's funny
91.89%	0.03%	15	ba	oh man
91.92%	0.03%	15	b	oh sure
91.95%	0.03%	15	bk	oh yeah
91.98%	0.03%	15	ba	oh my god
92.02%	0.03%	14	ba	i can imagine
92.05%	0.03%	14	ba	oh god
92.08%	0.03%	14	ba	well that 's nice
92.11%	0.03%	14	b	but yeah
92.14%	0.03%	14	b	ooh
92.17%	0.03%	14	ba	oh yes
92.20%	0.03%	14	ba	well that 's neat
92.23%	0.03%	13	ba	oh that 's wonderful
92.25%	0.03%	13	ba	oh that 's neat
92.28%	0.03%	13	ba	i see
92.31%	0.03%	13	br	what 's that
92.34%	0.03%	13	ba	golly
92.37%	0.03%	13	bh	are you
92.40%	0.03%	13	ba	oh how neat
92.42%	0.03%	12	b	oh well
92.45%	0.03%	12	ba	that 's for sure
92.47%	0.03%	12	ba	really
92.50%	0.03%	12	ba	you 're kidding
92.53%	0.03%	12	b	i know
92.55%	0.03%	12	b	well
92.58%	0.03%	12	ba	no kidding
92.60%	0.02%	11	b	uh uh-huh
92.63%	0.02%	11	b	hm
92.65%	0.02%	11	bh	oh do you
92.67%	0.02%	11	ba	that 's pretty good
92.70%	0.02%	11	ba	well great
92.72%	0.02%	11	bk	oh uh-huh
92.75%	0.02%	11	b	but uh yeah
92.77%	0.02%	10	ba	wonderful
92.79%	0.02%	10	ba	that is right
92.81%	0.02%	10	b	yeah um
92.83%	0.02%	10	ba	that 's
92.85%	0.02%	10	bk	right
92.88%	0.02%	10	ba	goodness
92.90%	0.02%	10	ba	oh jeez
92.92%	0.02%	10	ba	oh how nice
92.94%	0.02%	10	ba	oh i bet
92.96%	0.02%	10	b	oh oh
92.98%	0.02%	9	ba	hey
93.00%	0.02%	9	ba	good for you
93.02%	0.02%	9	b	um-hum
93.04%	0.02%	9	ba	god
93.06%	0.02%	9	ba	i 'll be darned
93.08%	0.02%	9	br	
93.10%	0.02%	9	ba	that sounds great
93.12%	0.02%	9	bd	no
93.14%	0.02%	8	b	uh-uh
93.15%	0.02%	8	ba	that 's amazing
93.17%	0.02%	8	bh	was it
93.19%	0.02%	8	bh	no
93.21%	0.02%	8	ba	how funny
93.22%	0.02%	8	ba	interesting
93.24%	0.02%	8	ba	my word
93.26%	0.02%	8	ba	i 'll bet
93.28%	0.02%	8	bh	oh are you
93.29%	0.02%	8	br	excuse me
93.31%	0.02%	8	ba	ugh
93.33%	0.02%	8	ba	i 'm sure
93.35%	0.02%	8	ba	i understand that
93.36%	0.02%	7	ba	right
93.38%	0.02%	7	ba	oh wonderful
93.39%	0.02%	7	ba	i imagine
93.41%	0.02%	7	ba	oh i see
93.42%	0.02%	7	bh	oh you do
93.44%	0.02%	7	ba	oh how funny
93.45%	0.02%	7	ba	i know it
93.47%	0.02%	7	bh	oh you are
93.48%	0.02%	7	ba	man
93.50%	0.02%	7	bh	oh have you
93.51%	0.02%	7	ba	oh that 's
93.53%	0.02%	7	b	oh mumblex
93.54%	0.02%	7	bh	have you
93.56%	0.02%	7	ba	how about that
93.57%	0.02%	7	ba	oh you 're kidding
93.59%	0.02%	7	ba	oh neat
93.60%	0.02%	7	b	and yeah
93.62%	0.02%	7	ba	good grief
93.63%	0.02%	7	ba	oh nice
93.65%	0.01%	6	ba	well that 's true
93.66%	0.01%	6	ba	well that 's wonderful
93.67%	0.01%	6	b	but um yeah
93.69%	0.01%	6	ba	that 's awful
