extract_pfiles_python.checkBackchannels extract_pfiles_python/config.json
spkrcount=4876
bc	aggregated	self	count	text
[NBC]	32.50%	32.50%	127260	[silence]
[ BC]	36.20%	3.70%	14491	yeah
[ BC]	39.36%	3.17%	12394	um-hum
[ BC]	42.42%	3.06%	11977	uh-huh
[NBC]	44.21%	1.78%	6988	[noise]
[NBC]	45.93%	1.72%	6741	[laughter]
[ BC]	47.19%	1.27%	4961	right
[ BC]	47.80%	0.61%	2380	oh
[ BC]	48.30%	0.49%	1929	um
[ BC]	48.64%	0.34%	1333	uh
[ BC]	48.92%	0.29%	1122	yes
[ BC]	49.19%	0.26%	1035	okay
[ BC]	49.44%	0.25%	996	oh yeah
[NBC]	49.67%	0.23%	896	[vocalized-noise]
[ BC]	49.88%	0.21%	818	huh
[ BC]	50.08%	0.21%	804	yeah yeah
[NBC]	50.28%	0.20%	764	so
[ BC]	50.45%	0.17%	681	hm
[ BC]	50.62%	0.16%	644	oh really
[ BC]	50.77%	0.15%	585	um-hum um-hum
[ BC]	50.91%	0.15%	578	well
[NBC]	51.05%	0.14%	548	and uh
[ BC]	51.19%	0.13%	517	hum
[ BC]	51.32%	0.13%	515	sure
[ BC]	51.44%	0.12%	473	no
[ BC]	51.56%	0.12%	466	that's right
[ BC]	51.67%	0.12%	454	oh okay
[NBC]	51.79%	0.12%	452	and
[ BC]	51.90%	0.11%	450	really
[NBC]	52.01%	0.10%	411	but
[ BC]	52.11%	0.10%	399	uh-huh uh-huh
[ BC]	52.20%	0.09%	368	wow
[NBC]	52.29%	0.09%	353	but uh
[ BC]	52.38%	0.09%	352	right right
[ BC]	52.46%	0.08%	309	yep
[ BC]	52.53%	0.07%	272	yeah [laughter]
[ BC]	52.60%	0.07%	269	you know
[ BC]	52.66%	0.06%	240	[laughter-yeah]
[ BC]	52.72%	0.06%	223	that's true
[ BC]	52.77%	0.05%	195	exactly
[ BC]	52.82%	0.05%	192	oh uh-huh
[ BC]	52.87%	0.05%	189	i see
[ BC]	52.91%	0.04%	160	oh wow
[ BC]	52.94%	0.03%	136	yeah that's true
[ BC]	52.97%	0.03%	126	oh no
[ BC]	53.01%	0.03%	124	right yeah
[ BC]	53.04%	0.03%	123	[noise] yeah
[NBC]	53.07%	0.03%	120	and um
[NBC]	53.10%	0.03%	119	but um
[ BC]	53.13%	0.03%	118	is that right
[ BC]	53.16%	0.03%	117	i know
[ BC]	53.19%	0.03%	116	oh i see
[NBC]	53.22%	0.03%	110	i
[NBC]	53.24%	0.03%	110	i don't know
[ BC]	53.27%	0.03%	107	oh [laughter]
[ BC]	53.30%	0.03%	106	uh-huh yeah
[ BC]	53.33%	0.03%	104	um-hum yeah
[ BC]	53.35%	0.03%	103	oh my goodness
[ BC]	53.38%	0.03%	103	all right
[ BC]	53.40%	0.03%	101	ah
[ BC]	53.43%	0.03%	100	yeah right
[ BC]	53.45%	0.03%	99	right [laughter]
[ BC]	53.48%	0.03%	98	oh yes
[ BC]	53.50%	0.02%	97	yeah [noise]
[ BC]	53.53%	0.02%	96	huh-uh
[ BC]	53.55%	0.02%	88	ooh
[ BC]	53.57%	0.02%	87	oh my
[ BC]	53.60%	0.02%	83	um-hum [noise]
[ BC]	53.62%	0.02%	82	what
[ BC]	53.64%	0.02%	82	[laughter] yeah
[ BC]	53.66%	0.02%	80	uh-huh [laughter]
[ BC]	53.68%	0.02%	77	that's great
[ BC]	53.70%	0.02%	76	yeah uh-huh
[NBC]	53.72%	0.02%	75	bye-bye
[ BC]	53.73%	0.02%	74	[laughter-right]
[NBC]	53.75%	0.02%	73	so uh
[ BC]	53.77%	0.02%	71	oh my gosh
[NBC]	53.79%	0.02%	69	that's right that's right
[NBC]	53.81%	0.02%	69	well that's good
[ BC]	53.82%	0.02%	67	that's
