2017-01-24 04:37:23,234 DEBUG    version=v043-unified:simple-ff-100-50-50
2017-01-24 04:37:23,951 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-24 04:37:43,053 DEBUG    loading cached extracted data from data/cache/extract-563f0cfda2bc8b6a659563483d8ddca63a2cf90cdf00f9f7f789bf6027ccda0a.pickle
2017-01-24 04:37:44,002 DEBUG    set input dim to 2
2017-01-24 04:37:44,004 DEBUG    input dim = 2
2017-01-24 04:37:44,190 DEBUG    loading data into ram
2017-01-24 04:37:44,338 DEBUG    loading data took 0.147s (cpu: 0.147s
2017-01-24 04:37:44,903 DEBUG    set input dim to 2
2017-01-24 04:37:44,903 DEBUG    input dim = 2
2017-01-24 04:37:44,924 DEBUG    loading data into ram
2017-01-24 04:37:44,938 DEBUG    loading data took 0.014s (cpu: 0.014s
2017-01-24 04:37:44,970 INFO     Training network with 15802 trainable out of 15802 total params.
2017-01-24 04:37:45,013 DEBUG    Using sgd with learning_rate=0.700000
2017-01-24 04:37:56,177 INFO     Waiting for existing lock by process '21744' (I am process '21738')
2017-01-24 04:37:56,178 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:10,485 INFO     Waiting for existing lock by process '21744' (I am process '21738')
2017-01-24 04:38:10,485 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:34,663 DEBUG    Starting training...
2017-01-24 04:41:22,266 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-000.pkl
2017-01-24 04:41:32,502 INFO     epoch: 0 took 117.838s (84.101s in batching)
training loss:	0.623689
validation loss:	0.609740
validation error:	0.336312
2017-01-24 04:41:32,504 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:43:27,290 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-001.pkl
2017-01-24 04:43:37,499 INFO     epoch: 1 took 124.997s (83.755s in batching)
training loss:	0.609480
validation loss:	0.610415
validation error:	0.337467
2017-01-24 04:43:37,501 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:45:25,412 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-002.pkl
2017-01-24 04:45:35,734 INFO     epoch: 2 took 118.235s (83.725s in batching)
training loss:	0.604493
validation loss:	0.605016
validation error:	0.331564
2017-01-24 04:45:35,736 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:47:23,919 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-003.pkl
2017-01-24 04:47:34,201 INFO     epoch: 3 took 118.467s (83.934s in batching)
training loss:	0.601017
validation loss:	0.603420
validation error:	0.328178
2017-01-24 04:47:34,204 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:49:22,648 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-004.pkl
2017-01-24 04:49:32,947 INFO     epoch: 4 took 118.747s (83.660s in batching)
training loss:	0.598218
validation loss:	0.607732
validation error:	0.337804
2017-01-24 04:49:32,950 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:51:21,999 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-005.pkl
2017-01-24 04:51:32,202 INFO     epoch: 5 took 119.255s (84.232s in batching)
training loss:	0.596165
validation loss:	0.602628
validation error:	0.328446
2017-01-24 04:51:32,205 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:53:20,626 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-006.pkl
2017-01-24 04:53:30,744 INFO     epoch: 6 took 118.542s (83.756s in batching)
training loss:	0.594201
validation loss:	0.602407
validation error:	0.328054
2017-01-24 04:53:30,845 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:55:19,830 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-007.pkl
2017-01-24 04:55:29,986 INFO     epoch: 7 took 119.242s (83.832s in batching)
training loss:	0.592943
validation loss:	0.601758
validation error:	0.329988
2017-01-24 04:55:30,089 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:57:19,324 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-008.pkl
2017-01-24 04:57:29,559 INFO     epoch: 8 took 119.573s (84.509s in batching)
training loss:	0.591429
validation loss:	0.607031
validation error:	0.332575
2017-01-24 04:57:29,562 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 04:59:17,998 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-009.pkl
2017-01-24 04:59:28,146 INFO     epoch: 9 took 118.587s (83.614s in batching)
training loss:	0.590371
validation loss:	0.604613
validation error:	0.329888
2017-01-24 04:59:28,149 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:01:16,827 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-010.pkl
2017-01-24 05:01:26,934 INFO     epoch: 10 took 118.788s (83.638s in batching)
training loss:	0.589337
validation loss:	0.603587
validation error:	0.331038
2017-01-24 05:01:26,937 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:03:15,300 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-011.pkl
2017-01-24 05:03:25,500 INFO     epoch: 11 took 118.566s (83.505s in batching)
training loss:	0.588484
validation loss:	0.603495
validation error:	0.327103
2017-01-24 05:03:25,503 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:05:14,509 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-012.pkl
2017-01-24 05:05:24,680 INFO     epoch: 12 took 119.180s (83.982s in batching)
training loss:	0.587726
validation loss:	0.605079
validation error:	0.329046
2017-01-24 05:05:24,683 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:07:13,385 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-013.pkl
2017-01-24 05:07:23,552 INFO     epoch: 13 took 118.872s (83.797s in batching)
training loss:	0.587049
validation loss:	0.604156
validation error:	0.326488
2017-01-24 05:07:23,555 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:09:11,744 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-014.pkl
2017-01-24 05:09:22,029 INFO     epoch: 14 took 118.477s (83.401s in batching)
training loss:	0.586365
validation loss:	0.600057
validation error:	0.325447
2017-01-24 05:09:22,033 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:11:11,305 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-015.pkl
2017-01-24 05:11:21,553 INFO     epoch: 15 took 119.524s (84.241s in batching)
training loss:	0.585792
validation loss:	0.607418
validation error:	0.329095
2017-01-24 05:11:21,556 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:13:10,755 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-016.pkl
2017-01-24 05:13:21,033 INFO     epoch: 16 took 119.480s (84.091s in batching)
training loss:	0.585182
validation loss:	0.605743
validation error:	0.329249
2017-01-24 05:13:21,037 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:15:10,198 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-017.pkl
2017-01-24 05:15:20,302 INFO     epoch: 17 took 119.268s (83.973s in batching)
training loss:	0.584754
validation loss:	0.606063
validation error:	0.328377
2017-01-24 05:15:20,305 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:17:09,281 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-018.pkl
2017-01-24 05:17:19,498 INFO     epoch: 18 took 119.196s (83.932s in batching)
training loss:	0.584230
validation loss:	0.603308
validation error:	0.327708
2017-01-24 05:17:19,501 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:19:08,419 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-019.pkl
2017-01-24 05:19:18,617 INFO     epoch: 19 took 119.119s (83.729s in batching)
training loss:	0.583933
validation loss:	0.604112
validation error:	0.326820
2017-01-24 05:19:18,718 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-100-50-50/config.json
2017-01-24 05:21:07,933 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-100-50-50/epoch-020.pkl
