2017-01-24 04:37:23,234 DEBUG    version=v043-unified:simple-ff-100-50
2017-01-24 04:37:23,951 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-24 04:37:43,637 DEBUG    loading cached extracted data from data/cache/extract-563f0cfda2bc8b6a659563483d8ddca63a2cf90cdf00f9f7f789bf6027ccda0a.pickle
2017-01-24 04:37:44,676 DEBUG    set input dim to 2
2017-01-24 04:37:44,678 DEBUG    input dim = 2
2017-01-24 04:37:44,851 DEBUG    loading data into ram
2017-01-24 04:37:44,993 DEBUG    loading data took 0.142s (cpu: 0.141s
2017-01-24 04:37:45,557 DEBUG    set input dim to 2
2017-01-24 04:37:45,557 DEBUG    input dim = 2
2017-01-24 04:37:45,580 DEBUG    loading data into ram
2017-01-24 04:37:45,594 DEBUG    loading data took 0.015s (cpu: 0.015s
2017-01-24 04:37:45,623 INFO     Training network with 13252 trainable out of 13252 total params.
2017-01-24 04:37:45,656 DEBUG    Using sgd with learning_rate=0.700000
2017-01-24 04:37:57,866 INFO     Waiting for existing lock by process '21744' (I am process '21733')
2017-01-24 04:37:57,867 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:04,638 INFO     Waiting for existing lock by process '21744' (I am process '21733')
2017-01-24 04:38:04,638 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:12,175 INFO     Waiting for existing lock by process '21744' (I am process '21733')
2017-01-24 04:38:12,175 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:18,330 INFO     Waiting for existing lock by process '21738' (I am process '21733')
2017-01-24 04:38:18,331 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
