2017-01-24 04:37:23,233 DEBUG    version=v043-unified:simple-ff-200
2017-01-24 04:37:23,951 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-24 04:37:43,107 DEBUG    loading cached extracted data from data/cache/extract-563f0cfda2bc8b6a659563483d8ddca63a2cf90cdf00f9f7f789bf6027ccda0a.pickle
2017-01-24 04:37:44,060 DEBUG    set input dim to 2
2017-01-24 04:37:44,062 DEBUG    input dim = 2
2017-01-24 04:37:44,264 DEBUG    loading data into ram
2017-01-24 04:37:44,412 DEBUG    loading data took 0.148s (cpu: 0.147s
2017-01-24 04:37:44,978 DEBUG    set input dim to 2
2017-01-24 04:37:44,978 DEBUG    input dim = 2
2017-01-24 04:37:44,998 DEBUG    loading data into ram
2017-01-24 04:37:45,012 DEBUG    loading data took 0.014s (cpu: 0.014s
2017-01-24 04:37:45,035 INFO     Training network with 16602 trainable out of 16602 total params.
2017-01-24 04:37:45,057 DEBUG    Using sgd with learning_rate=0.700000
2017-01-24 04:37:56,164 INFO     Waiting for existing lock by process '21744' (I am process '21741')
2017-01-24 04:37:56,165 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:10,472 INFO     Waiting for existing lock by process '21744' (I am process '21741')
2017-01-24 04:38:10,472 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:16,624 INFO     Waiting for existing lock by process '21744' (I am process '21741')
2017-01-24 04:38:16,624 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:24,278 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:38:24,279 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:30,266 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:38:30,267 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:40,041 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:38:40,042 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:46,601 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:38:46,602 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:38:53,047 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:38:53,047 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:02,083 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:39:02,083 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:09,209 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:39:09,210 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:15,633 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:39:15,633 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:23,412 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:39:23,412 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:30,720 INFO     Waiting for existing lock by process '21738' (I am process '21741')
2017-01-24 04:39:30,721 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:39,600 INFO     Waiting for existing lock by process '21743' (I am process '21741')
2017-01-24 04:39:39,601 INFO     To manually release the lock, delete /home/rruede/.theano/compiledir_Linux-3.16--generic-x86_64-with-debian-jessie-sid-x86_64-3.6.0-64/lock_dir
2017-01-24 04:39:47,596 DEBUG    Starting training...
2017-01-24 04:41:24,599 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-000.pkl
2017-01-24 04:41:33,873 INFO     epoch: 0 took 106.276s (81.620s in batching)
training loss:	0.626297
validation loss:	0.615438
validation error:	0.343767
2017-01-24 04:41:33,875 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:43:17,724 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-001.pkl
2017-01-24 04:43:26,930 INFO     epoch: 1 took 113.057s (81.629s in batching)
training loss:	0.616565
validation loss:	0.611728
validation error:	0.336486
2017-01-24 04:43:26,933 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:45:04,628 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-002.pkl
2017-01-24 04:45:13,812 INFO     epoch: 2 took 106.882s (82.010s in batching)
training loss:	0.613116
validation loss:	0.610463
validation error:	0.333784
2017-01-24 04:45:13,815 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:46:51,189 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-003.pkl
2017-01-24 04:47:00,381 INFO     epoch: 3 took 106.568s (81.526s in batching)
training loss:	0.610816
validation loss:	0.611635
validation error:	0.338513
2017-01-24 04:47:00,383 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:48:37,859 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-004.pkl
2017-01-24 04:48:47,108 INFO     epoch: 4 took 106.727s (81.533s in batching)
training loss:	0.608976
validation loss:	0.608085
validation error:	0.332590
2017-01-24 04:48:47,110 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:50:24,681 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-005.pkl
2017-01-24 04:50:33,917 INFO     epoch: 5 took 106.809s (81.558s in batching)
training loss:	0.607593
validation loss:	0.608093
validation error:	0.334726
2017-01-24 04:50:33,919 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:52:11,687 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-006.pkl
2017-01-24 04:52:20,913 INFO     epoch: 6 took 106.997s (81.789s in batching)
training loss:	0.606338
validation loss:	0.609941
validation error:	0.333204
2017-01-24 04:52:20,916 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:53:58,849 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-007.pkl
2017-01-24 04:54:08,185 INFO     epoch: 7 took 107.271s (82.012s in batching)
training loss:	0.605503
validation loss:	0.609236
validation error:	0.335663
2017-01-24 04:54:08,190 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:55:46,080 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-008.pkl
2017-01-24 04:55:55,367 INFO     epoch: 8 took 107.182s (81.888s in batching)
training loss:	0.604983
validation loss:	0.615556
validation error:	0.338974
2017-01-24 04:55:55,369 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:57:33,252 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-009.pkl
2017-01-24 04:57:42,482 INFO     epoch: 9 took 107.114s (81.911s in batching)
training loss:	0.603970
validation loss:	0.606204
validation error:	0.332377
2017-01-24 04:57:42,581 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 04:59:20,525 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-010.pkl
2017-01-24 04:59:29,798 INFO     epoch: 10 took 107.316s (81.928s in batching)
training loss:	0.603377
validation loss:	0.616802
validation error:	0.337695
2017-01-24 04:59:29,801 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:01:07,676 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-011.pkl
2017-01-24 05:01:16,975 INFO     epoch: 11 took 107.177s (81.806s in batching)
training loss:	0.602711
validation loss:	0.607966
validation error:	0.330067
2017-01-24 05:01:16,978 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:02:54,833 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-012.pkl
2017-01-24 05:03:04,121 INFO     epoch: 12 took 107.146s (81.871s in batching)
training loss:	0.602086
validation loss:	0.606469
validation error:	0.333378
2017-01-24 05:03:04,124 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:04:41,872 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-013.pkl
2017-01-24 05:04:51,106 INFO     epoch: 13 took 106.985s (81.616s in batching)
training loss:	0.601722
validation loss:	0.607180
validation error:	0.328129
2017-01-24 05:04:51,109 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:06:28,849 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-014.pkl
2017-01-24 05:06:38,085 INFO     epoch: 14 took 106.979s (81.598s in batching)
training loss:	0.601260
validation loss:	0.605146
validation error:	0.329631
2017-01-24 05:06:38,088 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:08:16,063 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-015.pkl
2017-01-24 05:08:25,318 INFO     epoch: 15 took 107.233s (81.865s in batching)
training loss:	0.600976
validation loss:	0.607288
validation error:	0.329492
2017-01-24 05:08:25,321 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:10:03,443 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-016.pkl
2017-01-24 05:10:12,692 INFO     epoch: 16 took 107.373s (82.016s in batching)
training loss:	0.600396
validation loss:	0.612288
validation error:	0.334969
2017-01-24 05:10:12,695 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:11:50,514 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-017.pkl
2017-01-24 05:11:59,809 INFO     epoch: 17 took 107.117s (81.525s in batching)
training loss:	0.599978
validation loss:	0.605147
validation error:	0.329150
2017-01-24 05:11:59,812 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:13:37,953 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-018.pkl
2017-01-24 05:13:47,233 INFO     epoch: 18 took 107.424s (81.889s in batching)
training loss:	0.599758
validation loss:	0.610842
validation error:	0.335514
2017-01-24 05:13:47,333 INFO     Wrote output to trainNN/out/v043-unified:simple-ff-200/config.json
2017-01-24 05:15:25,041 INFO     Saving network params to trainNN/out/v043-unified:simple-ff-200/epoch-019.pkl
2017-01-24 05:15:34,407 INFO     epoch: 19 took 107.174s (81.585s in batching)
training loss:	0.599523
validation loss:	0.607077
validation error:	0.330662
