2017-01-26 20:49:27,071 DEBUG    version=v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0
2017-01-26 20:49:27,071 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-26 20:51:09,897 DEBUG    extracting and saving data to data/cache/extract-9fd8005404082bacfdff4f76e5cc7bd2ecbc33e1a924c2f4c6f3465261b55580.pickle
2017-01-26 20:51:09,897 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-26 20:54:45,337 DEBUG    set input dim to 9
2017-01-26 20:54:45,337 DEBUG    input dim = 9
2017-01-26 20:54:45,367 DEBUG    shuffling batches
2017-01-26 20:54:57,166 DEBUG    shuffling done
2017-01-26 20:54:57,166 DEBUG    loading data into ram
2017-01-26 20:54:57,188 DEBUG    loading data took 0.022s (cpu: 0.022s)
2017-01-26 20:55:06,656 DEBUG    set input dim to 9
2017-01-26 20:55:06,657 DEBUG    input dim = 9
2017-01-26 20:55:06,779 DEBUG    shuffling batches
2017-01-26 20:55:07,908 DEBUG    shuffling done
2017-01-26 20:55:07,908 DEBUG    loading data into ram
2017-01-26 20:55:07,911 DEBUG    loading data took 0.003s (cpu: 0.003s)
2017-01-26 20:55:07,933 INFO     Training network with 30197 trainable out of 30197 total params.
2017-01-26 20:55:07,965 DEBUG    Using adam with learning_rate=0.001000
2017-01-26 20:55:10,386 DEBUG    Starting training...
2017-01-26 20:55:14,193 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/epoch-000.pkl
2017-01-26 20:55:14,412 INFO     epoch: 0 took 4.027s (0.003s in batching)
training loss:	0.637246
validation loss:	0.624991
validation error:	0.357398
2017-01-26 20:55:14,413 INFO     Wrote output to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/config.json
2017-01-26 20:55:18,161 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/epoch-001.pkl
2017-01-26 20:55:18,381 INFO     epoch: 1 took 3.968s (0.003s in batching)
training loss:	0.623785
validation loss:	0.612697
validation error:	0.344917
2017-01-26 20:55:18,381 INFO     Wrote output to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/config.json
2017-01-26 20:55:22,191 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/epoch-002.pkl
2017-01-26 20:55:22,422 INFO     epoch: 2 took 4.041s (0.003s in batching)
training loss:	0.617710
validation loss:	0.609890
validation error:	0.340677
2017-01-26 20:55:22,422 INFO     Wrote output to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/config.json
2017-01-26 20:55:26,397 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/epoch-003.pkl
2017-01-26 20:55:26,661 INFO     epoch: 3 took 4.239s (0.004s in batching)
training loss:	0.613179
validation loss:	0.617214
validation error:	0.345654
2017-01-26 20:55:26,661 INFO     Wrote output to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/config.json
2017-01-26 20:55:30,638 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/epoch-004.pkl
2017-01-26 20:55:30,859 INFO     epoch: 4 took 4.198s (0.003s in batching)
training loss:	0.610165
validation loss:	0.606186
validation error:	0.333023
2017-01-26 20:55:30,859 INFO     Wrote output to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/config.json
2017-01-26 20:55:34,874 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92-dirty:simple-ff-ffv-adam-75-40-mintalklen-0/epoch-005.pkl
2017-01-26 20:55:35,114 INFO     epoch: 5 took 4.256s (0.003s in batching)
training loss:	0.607492
validation loss:	0.606120
validation error:	0.333895
