2017-01-26 20:42:57,530 DEBUG    version=v045-unified-14-ga63bb92:simple-ff-ffv-adam-75-40-mintalklen
2017-01-26 20:42:57,531 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-01-26 20:44:44,239 DEBUG    loading cached extracted data from data/cache/extract-1358e07da0daaaedda36d2aa18f36b9021bcd7d3bd6b830f8da29382cee07f91.pickle
2017-01-26 20:44:44,289 DEBUG    set input dim to 9
2017-01-26 20:44:44,290 DEBUG    input dim = 9
2017-01-26 20:44:44,298 DEBUG    shuffling batches
2017-01-26 20:44:47,749 DEBUG    shuffling done
2017-01-26 20:44:47,749 DEBUG    loading data into ram
2017-01-26 20:44:47,755 DEBUG    loading data took 0.006s (cpu: 0.006s)
2017-01-26 20:44:58,169 DEBUG    set input dim to 9
2017-01-26 20:44:58,170 DEBUG    input dim = 9
2017-01-26 20:44:58,192 DEBUG    shuffling batches
2017-01-26 20:44:58,606 DEBUG    shuffling done
2017-01-26 20:44:58,607 DEBUG    loading data into ram
2017-01-26 20:44:58,608 DEBUG    loading data took 0.002s (cpu: 0.001s)
2017-01-26 20:44:58,630 INFO     Training network with 30197 trainable out of 30197 total params.
2017-01-26 20:44:58,661 DEBUG    Using adam with learning_rate=0.001000
2017-01-26 20:44:59,655 DEBUG    Starting training...
2017-01-26 20:45:00,812 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92:simple-ff-ffv-adam-75-40-mintalklen/epoch-000.pkl
2017-01-26 20:45:00,894 INFO     epoch: 0 took 1.239s (0.001s in batching)
training loss:	0.647903
validation loss:	0.642332
validation error:	0.380000
2017-01-26 20:45:00,895 INFO     Wrote output to trainNN/out/v045-unified-14-ga63bb92:simple-ff-ffv-adam-75-40-mintalklen/config.json
2017-01-26 20:45:02,056 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92:simple-ff-ffv-adam-75-40-mintalklen/epoch-001.pkl
2017-01-26 20:45:02,137 INFO     epoch: 1 took 1.243s (0.001s in batching)
training loss:	0.635334
validation loss:	0.629315
validation error:	0.366085
2017-01-26 20:45:02,137 INFO     Wrote output to trainNN/out/v045-unified-14-ga63bb92:simple-ff-ffv-adam-75-40-mintalklen/config.json
2017-01-26 20:45:03,305 INFO     Saving network params to trainNN/out/v045-unified-14-ga63bb92:simple-ff-ffv-adam-75-40-mintalklen/epoch-002.pkl
2017-01-26 20:45:03,388 INFO     epoch: 2 took 1.251s (0.001s in batching)
training loss:	0.630597
validation loss:	0.631149
validation error:	0.366979
