2017-02-09 20:48:27,064 DEBUG    version=v050-finunified-6-gca252aa-dirty:ff-best-56-28
2017-02-09 20:48:27,120 INFO     Open DBase(data/db/all240302-spk.dat, data/db/all240302-spk.idx, mode='r')
2017-02-09 20:48:27,327 INFO     loading uttdb cache
2017-02-09 20:48:53,837 DEBUG    loading cached extracted data from data/cache/extract-7a00b23850576d60137fa78432d8dfda09ea0f343092bd09848f21113b1acfd0.pickle
2017-02-09 20:49:12,644 DEBUG    set input dim to 9
2017-02-09 20:49:12,646 DEBUG    input dim = 9
2017-02-09 20:49:12,661 DEBUG    shuffling batches
2017-02-09 20:49:15,755 DEBUG    shuffling done
2017-02-09 20:49:15,755 DEBUG    loading data into ram
2017-02-09 20:49:15,825 DEBUG    loading data took 0.071s (cpu: 0.066s)
2017-02-09 20:49:16,112 DEBUG    set input dim to 9
2017-02-09 20:49:16,112 DEBUG    input dim = 9
2017-02-09 20:49:16,137 DEBUG    shuffling batches
2017-02-09 20:49:16,409 DEBUG    shuffling done
2017-02-09 20:49:16,409 DEBUG    loading data into ram
2017-02-09 20:49:16,417 DEBUG    loading data took 0.008s (cpu: 0.008s)
2017-02-09 20:49:16,608 INFO     Training network with 39510 trainable out of 39510 total params.
2017-02-09 20:49:16,646 DEBUG    Using adam with learning_rate=0.001000
2017-02-09 20:49:18,930 DEBUG    Starting training...
2017-02-09 20:49:19,488 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-000.pkl
2017-02-09 20:49:19,529 INFO     epoch: 0 took 0.599s (0.001s in batching)
training loss:	0.598457
validation loss:	0.627204
validation error:	0.343000
2017-02-09 20:49:19,529 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:20,095 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-001.pkl
2017-02-09 20:49:20,134 INFO     epoch: 1 took 0.605s (0.000s in batching)
training loss:	0.579401
validation loss:	0.573127
validation error:	0.293300
2017-02-09 20:49:20,136 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:20,698 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-002.pkl
2017-02-09 20:49:20,810 INFO     epoch: 2 took 0.676s (0.000s in batching)
training loss:	0.575217
validation loss:	0.572647
validation error:	0.293000
2017-02-09 20:49:20,810 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:21,373 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-003.pkl
2017-02-09 20:49:21,412 INFO     epoch: 3 took 0.602s (0.000s in batching)
training loss:	0.571426
validation loss:	0.572724
validation error:	0.293600
2017-02-09 20:49:21,412 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:21,968 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-004.pkl
2017-02-09 20:49:22,006 INFO     epoch: 4 took 0.594s (0.000s in batching)
training loss:	0.570617
validation loss:	0.567783
validation error:	0.289400
2017-02-09 20:49:22,006 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:22,570 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-005.pkl
2017-02-09 20:49:22,611 INFO     epoch: 5 took 0.605s (0.000s in batching)
training loss:	0.567791
validation loss:	0.568124
validation error:	0.288700
2017-02-09 20:49:22,611 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:23,178 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-006.pkl
2017-02-09 20:49:23,215 INFO     epoch: 6 took 0.604s (0.001s in batching)
training loss:	0.567178
validation loss:	0.567900
validation error:	0.289200
2017-02-09 20:49:23,216 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:23,774 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-007.pkl
2017-02-09 20:49:23,813 INFO     epoch: 7 took 0.598s (0.001s in batching)
training loss:	0.565414
validation loss:	0.565515
validation error:	0.287900
2017-02-09 20:49:23,814 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:24,373 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-008.pkl
2017-02-09 20:49:24,411 INFO     epoch: 8 took 0.598s (0.000s in batching)
training loss:	0.564107
validation loss:	0.565452
validation error:	0.289500
2017-02-09 20:49:24,412 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:24,976 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-009.pkl
2017-02-09 20:49:25,016 INFO     epoch: 9 took 0.605s (0.000s in batching)
training loss:	0.562771
validation loss:	0.563056
validation error:	0.287100
2017-02-09 20:49:25,016 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:25,588 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-010.pkl
2017-02-09 20:49:25,629 INFO     epoch: 10 took 0.613s (0.000s in batching)
training loss:	0.563627
validation loss:	0.587811
validation error:	0.309800
2017-02-09 20:49:25,629 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:26,234 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-011.pkl
2017-02-09 20:49:26,320 INFO     epoch: 11 took 0.692s (0.000s in batching)
training loss:	0.561584
validation loss:	0.562329
validation error:	0.284600
2017-02-09 20:49:26,321 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:26,889 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-012.pkl
2017-02-09 20:49:26,930 INFO     epoch: 12 took 0.609s (0.001s in batching)
training loss:	0.560378
validation loss:	0.563451
validation error:	0.285300
2017-02-09 20:49:26,930 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:27,494 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-013.pkl
2017-02-09 20:49:28,157 INFO     epoch: 13 took 1.228s (0.001s in batching)
training loss:	0.559192
validation loss:	0.563371
validation error:	0.284200
2017-02-09 20:49:28,158 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:28,712 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-014.pkl
2017-02-09 20:49:28,750 INFO     epoch: 14 took 0.592s (0.000s in batching)
training loss:	0.558711
validation loss:	0.560652
validation error:	0.285900
2017-02-09 20:49:28,750 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:29,302 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-015.pkl
2017-02-09 20:49:29,340 INFO     epoch: 15 took 0.590s (0.000s in batching)
training loss:	0.559197
validation loss:	0.563597
validation error:	0.288800
2017-02-09 20:49:29,341 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:29,889 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-016.pkl
2017-02-09 20:49:30,310 INFO     epoch: 16 took 0.970s (0.000s in batching)
training loss:	0.558068
validation loss:	0.569940
validation error:	0.294800
2017-02-09 20:49:30,312 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
2017-02-09 20:49:30,860 INFO     Saving network params to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/epoch-017.pkl
2017-02-09 20:49:32,310 INFO     epoch: 17 took 2.000s (0.000s in batching)
training loss:	0.557078
validation loss:	0.561120
validation error:	0.283000
2017-02-09 20:49:35,382 INFO     Wrote output to trainNN/out/v050-finunified-6-gca252aa-dirty:ff-best-56-28/config.json
